Country;Region;Hemisphere;HappinessScore;HDI;GDP_PerCapita;Beer_PerCapita;Spirit_PerCapita;Wine_PerCapita;christianity_protestant;christianity_romancatholic;christianity_easternorthodox;christianity_anglican;christianity_other;christianity_all;judaism_orthodox;judaism_conservative;judaism_reform;judaism_other;judaism_all;islam_sunni;islam_shi’a;islam_ibadhi;islam_nationofislam;islam_alawite;islam_ahmadiyya;islam_other;islam_all;buddhism_mahayana;buddhism_theravada;buddhism_other;buddhism_all;zoroastrianism_all;hinduism_all;sikhism_all;shinto_all;baha’i_all;taoism_all;jainism_all;confucianism_all;syncretism_all;animism_all;noreligion_all;otherreligion_all;religion_all;population;protestant_percent;romancatholic_percent;easternorthodox_percent;anglican_percent;otherchristianity_percent;christianity_percent;orthodox_percent;conservative_percent;reform_percent;otherjudaism_percent;judaism_percent;sunni_percent;shi’a_percent;ibadhi_percent;nationofislam_percent;alawite_percent;ahmadiyya_percent;otherislam_percent;islam_percent;mahayana_percent;theravada_percent;otherbuddhism_percent;buddhism_percent;zoroastrianism_percent;hinduism_percent;sikhism_percent;shinto_percent;baha’i_percent;taoism_percent;jainism_percent;confucianism_percent;syncretism_percent;animism_percent;noreligion_percent;otherreligion_percent;religion_sumpercent;total_percent;dual_religion
Jamaica;Latin America and Caribbean;north;5.51;732;4.879;82;97;9;1736000;58000;0;75000;105000;1974000;0;0;0;531;531;0;0;0;0;0;0;1513;1513;0;0;322;322;0;15961;0;0;209;0;0;0;0;0;572000;304094;2564536;2868630;0.6052;0.0202;0;0.0261;0.0366;0.6881;0;0;0;0.0002;0.0002;0;0;0;0;0;0;0.0005;0.0005;0;0;0.0001;0.0001;0;0.0056;0;0;0.0001;0;0;0;0;0;0.1994;0.106;0.894;1;0
Croatia;Central and Eastern Europe;north;5.488;828;12.299;230;87;254;15129;3817311;196323;0;13382;4042145;0;0;0;553;553;65023;0;0;0;0;0;0;65023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250000;66440;4357721;4424161;0.0034;0.8628;0.0444;0;0.003;0.9137;0;0;0;0.0001;0.0001;0.0147;0;0;0;0;0;0;0.0147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0565;0.015;0.985;1;0
Turkey;Middle East and Northern Africa;north;5.389;787;10.863;51;22;7;64498;35747;87906;0;132126;320277;0;0;0;15000;15000;75699756;0;0;0;0;0;0;75699756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;383938;368661;76418971;76787632;0.0008;0.0005;0.0011;0;0.0017;0.0042;0;0;0;0.0002;0.0002;0.9858;0;0;0;0;0;0;0.9858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005;0.0048;0.9952;1;0
Jordan;Middle East and Northern Africa;north;5.303;735;4.088;6;21;1;0;30560;134467;0;18336;183363;0;0;0;0;0;5806540;122242;0;0;0;0;0;5928782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6112145;6112148;0;0.005;0.022;0;0.003;0.03;0;0;0;0;0;0.95;0.02;0;0;0;0;0;0.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Azerbaijan;Central and Eastern Europe;north;5.291;757;3.881;21;46;5;3200;0;215000;0;0;218200;0;0;0;8000;8000;1289285;7305949;0;0;0;0;0;8595234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175000;51181;8996434;9047615;0.0004;0;0.0238;0;0;0.0241;0;0;0;0.0009;0.0009;0.1425;0.8075;0;0;0;0;0;0.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0193;0.0057;0.9943;1;0
Philippines;Southeastern Asia;north;5.279;696;2.951;71;186;1;7487470;76469863;0;145000;391112;84493445;0;0;0;300;300;4604898;460489;0;0;0;0;48384;5113771;0;0;105000;105000;0;0;0;0;157000;0;0;0;53000;1093786;858781;222895;91875083;92097978;0.0813;0.8303;0;0.0016;0.0042;0.9174;0;0;0;0;0;0.05;0.005;0;0;0;0;0.0005;0.0555;0;0;0.0011;0.0011;0;0;0;0;0.0017;0;0;0;0.0006;0.0119;0.0093;0.0024;0.9976;0.9999;0
China;Eastern Asia;noth;5.245;748;8.117;79;192;8;51116622;10761394;10317;0;16142091;78030424;0;0;0;2579;2579;0;0;0;0;0;0;33629356;33629356;0;0;169491958;169491958;0;18572;22699;0;0;4573592;0;0;564973194;53653442;437181638;3596818;1341577454;1345174272;0.038;0.008;0;0;0.012;0.058;0;0;0;0;0;0;0;0;0;0;0;0.025;0.025;0;0;0.126;0.126;0;0;0;0;0;0.0034;0;0;0.42;0.0399;0.325;0.0027;0.9973;1;0
Kyrgyzstan;Central and Eastern Europe;north;5.185;669;1.22;31;97;6;11000;0;429229;0;100000;540229;0;0;0;500;500;4131336;1200;0;0;0;0;0;4132536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268268;423839;4941533;5365372;0.0021;0;0.08;0;0.0186;0.1007;0;0;0;0.0001;0.0001;0.77;0.0002;0;0;0;0;0;0.7702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0.079;0.921;1;0
Bosnia and Herzegovina;Central and Eastern Europe;north;5.163;766;4.809;76;173;8;38237;573569;1376566;0;0;1988372;0;0;0;1019;1019;1720707;0;0;0;0;0;0;1720707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112000;1697;3822098;3823795;0.01;0.15;0.36;0;0;0.52;0;0;0;0.0003;0.0003;0.45;0;0;0;0;0;0;0.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0293;0.0004;0.9996;1;0
Montenegro;Central and Eastern Europe;north;5.161;810;7.029;31;114;128;1200;21624;453696;0;1482;478002;0;0;0;0;0;0;0;0;0;0;0;120289;120289;0;0;119;119;0;0;0;0;0;0;0;0;0;0;28400;2707;626810;629517;0.0019;0.0344;0.7207;0;0.0024;0.7593;0;0;0;0;0;0;0;0;0;0;0;0.1911;0.1911;0;0;0.0002;0.0002;0;0;0;0;0;0;0;0;0;0;0.0451;0.0043;0.9957;1;0
Dominican Republic;Latin America and Caribbean;north;5.155;733;6.794;193;147;9;1493497;7168786;0;0;0;8662283;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1194797;99468;9857180;9956648;0.15;0.72;0;0;0;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12;0.01;0.99;1;0
Morocco;Middle East and Northern Africa;north;5.151;662;2.893;12;6;10;0;0;0;0;317760;317760;0;0;0;6000;6000;31426515;3500;0;0;0;0;0;31430015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22277;31753775;31776052;0;0;0;0;0.01;0.01;0;0;0;0.0002;0.0002;0.989;0.0001;0;0;0;0;0;0.9891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0007;0.9993;1;0
Hungary;Central and Eastern Europe;north;5.145;835;12.82;234;215;185;1799569;4677371;192155;0;0;6669095;0;0;0;10965;10965;0;0;0;0;0;0;4500;4500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2688805;526635;9373365;9900000;0.1818;0.4725;0.0194;0;0;0.6736;0;0;0;0.0011;0.0011;0;0;0;0;0;0;0.0005;0.0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2716;0.0532;0.9468;1;0
Lebanon;Middle East and Northern Africa;north;5.129;753;8.257;20;55;31;28567;857010;489720;0;285670;1660967;0;0;0;0;0;1101870;1101870;0;0;0;0;0;2203740;0;0;75000;75000;0;0;0;0;0;0;0;0;0;0;122430;18863;4062137;4081000;0.007;0.21;0.12;0;0.07;0.407;0;0;0;0;0;0.27;0.27;0;0;0;0;0;0.54;0;0;0.0184;0.0184;0;0;0;0;0;0;0;0;0;0;0.03;0.0046;0.9954;1;0
Portugal;Western Europe;north;5.123;845;19.872;194;67;339;85140;8780066;63855;2693;191565;9123319;0;0;0;3192;3192;0;0;0;0;0;0;90987;90987;0;0;59598;59598;0;6386;426;0;1980;0;0;0;0;0;735901;620716;10021789;10642505;0.008;0.825;0.006;0.0003;0.018;0.8573;0;0;0;0.0003;0.0003;0;0;0;0;0;0;0.0085;0.0085;0;0;0.0056;0.0056;0;0.0006;0;0;0.0002;0;0;0;0;0;0.0691;0.0583;0.9417;0.9999;0
Macedonia;Central and Eastern Europe;north;5.121;756;4.834;106;27;86;5248;39363;1266197;0;0;1310808;0;0;0;0;0;703363;0;0;0;0;0;0;703363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39075;3371;2053246;2056617;0.0026;0.0191;0.6157;0;0;0.6374;0;0;0;0;0;0.342;0;0;0;0;0;0;0.342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.019;0.0016;0.9984;1;0
Vietnam;Southeastern Asia;north;5.061;689;2.171;111;2;1;967098;7033441;0;3900;0;8004439;0;0;0;0;0;87918;5818;0;0;0;0;0;93736;10550162;32529668;0;43079830;0;50000;0;0;325000;0;0;0;820000;3516720;32002160;26139;87891885;87918024;0.011;0.08;0;0;0;0.091;0;0;0;0;0;0.001;0.0001;0;0;0;0;0;0.0011;0.12;0.37;0;0.49;0;0.0006;0;0;0.0037;0;0;0;0.0093;0.04;0.364;0.0003;0.9997;1;0
Tunisia;Middle East and Northern Africa;north;5.045;732;3.689;51;3;20;0;31646;0;0;5700;37346;0;0;0;1500;1500;10338017;105489;0;0;0;0;0;10443506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66645;10482352;10548997;0;0.003;0;0;0.0005;0.0035;0;0;0;0.0001;0.0001;0.98;0.01;0;0;0;0;0;0.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0063;0.9937;0.9999;0
Greece;Western Europe;north;5.033;868;17.882;133;112;218;81979;50969;10550000;0;0;10682948;0;0;0;5648;5648;240000;32000;0;0;0;0;0;272000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;295000;63692;11255596;11319288;0.0072;0.0045;0.932;0;0;0.9438;0;0;0;0.0005;0.0005;0.0212;0.0028;0;0;0;0;0;0.024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0261;0.0056;0.9944;1;0
Mongolia;Eastern Asia;noth;4.907;743;3.694;77;189;8;28833;654;3500;0;20183;53170;0;0;0;0;0;0;0;0;0;0;0;82380;82380;0;0;1455388;1455388;0;0;0;0;0;0;0;0;45000;250000;850000;10078;2735938;2746016;0.0105;0.0002;0.0013;0;0.0073;0.0194;0;0;0;0;0;0;0;0;0;0;0;0.03;0.03;0;0;0.53;0.53;0;0;0;0;0;0;0;0;0.0164;0.091;0.3095;0.0037;0.9963;1;0
Nigeria;Sub-Saharan Africa;north;4.875;530;2.176;42;5;2;18448759;16911362;37353;14941021;14387880;64726375;0;0;0;100;100;71349687;6934969;0;0;0;0;0;78284656;0;0;8229;8229;0;0;0;0;30000;0;0;0;4546;10302000;484129;270381;153840035;154110416;0.1197;0.1097;0.0002;0.097;0.0934;0.42;0;0;0;0;0;0.463;0.045;0;0;0;0;0;0.508;0;0;0.0001;0.0001;0;0;0;0;0.0002;0;0;0;0;0.0668;0.0031;0.0018;0.9982;1;0
Honduras;Latin America and Caribbean;north;4.871;614;2.375;69;98;2;2560652;4561162;0;0;0;7121814;0;0;0;397;397;397;0;0;0;0;0;0;397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800203;79228;7922811;8002039;0.32;0.57;0;0;0;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.0099;0.9901;0.9999;0
Zambia;Sub-Saharan Africa;south;4.795;586;1.263;32;19;4;3816303;4625587;13088;166452;2723069;11344499;0;0;0;1682;1682;65198;5926;0;0;0;0;0;71124;0;0;3912;3912;0;65198;0;0;145000;0;0;0;0;1367676;23431;17134;13022522;13039656;0.2927;0.3547;0.001;0.0128;0.2088;0.87;0;0;0;0.0001;0.0001;0.005;0.0005;0;0;0;0;0;0.0055;0;0;0.0003;0.0003;0;0.005;0;0;0.0111;0;0;0;0;0.1049;0.0018;0.0013;0.9987;1;0
Albania;Central and Eastern Europe;north;4.655;782;4.132;89;132;54;0;419535;223686;0;42000;685221;0;0;0;0;0;1917315;95865;0;0;0;0;0;2013180;0;0;0;0;0;0;0;0;7000;0;0;0;0;0;481586;8538;3186987;3195525;0;0.1313;0.07;0;0.0131;0.2144;0;0;0;0;0;0.6;0.03;0;0;0;0;0;0.63;0;0;0;0;0;0;0;0;0.0022;0;0;0;0;0;0.1507;0.0027;0.9973;1;0
Sierra Leone;Sub-Saharan Africa;north;4.635;413;481;25;3;2;487547;441898;0;79012;160789;1169246;0;0;0;0;0;3304455;92089;0;0;0;0;0;3396544;0;0;0;0;0;3000;0;0;4500;0;0;0;0;1457603;75086;33295;6105979;6139274;0.0794;0.072;0;0.0129;0.0262;0.1905;0;0;0;0;0;0.5382;0.015;0;0;0;0;0;0.5532;0;0;0;0;0;0.0005;0;0;0.0007;0;0;0;0;0.2374;0.0122;0.0054;0.9946;0.9999;1
Namibia;Sub-Saharan Africa;south;4.574;645;4.561;376;3;1;1049122;621785;0;0;195037;1865944;0;0;0;2466;2466;9500;700;0;0;0;0;0;10200;0;0;0;0;0;3500;0;0;2500;0;0;0;0;215000;41443;3711;2141053;2144764;0.4892;0.2899;0;0;0.0909;0.87;0;0;0;0.0011;0.0011;0.0044;0.0003;0;0;0;0;0;0.0048;0;0;0;0;0;0.0016;0;0;0.0012;0;0;0;0;0.1002;0.0193;0.0017;0.9983;0.9999;0
Cameroon;Sub-Saharan Africa;south;4.513;553;1.375;147;1;4;4684592;5183892;0;0;0;9868484;0;0;0;0;0;4265362;0;0;0;0;0;0;4265362;0;0;359;359;0;0;0;0;38200;0;0;0;765;5576888;145090;34816;19895148;19929964;0.2351;0.2601;0;0;0;0.4952;0;0;0;0;0;0.214;0;0;0;0;0;0;0.214;0;0;0;0;0;0;0;0;0.0019;0;0;0;0;0.2798;0.0073;0.0017;0.9983;0.9999;0
South Africa;Sub-Saharan Africa;south;4.459;696;5.28;225;76;81;12006000;3551568;30400;1900839;23000000;40488807;0;0;0;81536;81536;768950;76050;0;0;0;0;0;845000;0;0;159070;159070;0;750331;10605;0;21000;0;2001;20009;33515;3980000;3200000;430214;49591874;50022088;0.24;0.071;0.0006;0.038;0.4598;0.8094;0;0;0;0.0016;0.0016;0.0154;0.0015;0;0;0;0;0;0.0169;0;0;0.0032;0.0032;0;0.015;0.0002;0;0.0004;0;0;0.0004;0.0007;0.0796;0.064;0.0086;0.9914;1;0
Egypt;Middle East and Northern Africa;north;4.362;694;3.548;6;4;1;1219163;98000;8127756;0;406387;9851306;0;0;0;0;0;69898701;0;0;0;350000;0;0;70248701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;812776;364777;80912783;81277560;0.015;0.0012;0.1;0;0.005;0.1212;0;0;0;0;0;0.86;0;0;0;0.0043;0;0;0.8643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.0045;0.9955;1;0
Armenia;Central and Eastern Europe;north;4.36;749;3.606;21;179;11;0;0;3073754;0;12900;3086654;0;0;0;565;565;0;0;0;0;0;0;1000;1000;0;0;0;0;0;0;0;0;0;0;0;0;42195;0;112300;3067;3242714;3245781;0;0;0.947;0;0.004;0.951;0;0;0;0.0002;0.0002;0;0;0;0;0;0;0.0003;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0.013;0;0.0346;0.0009;0.9991;1;0
Kenya;Sub-Saharan Africa;both;4.356;585;1.463;58;22;2;12524979;11250000;401871;5130000;3095796;32402646;0;0;0;1300;1300;3988185;209904;0;0;0;0;0;4198090;0;0;1266;1266;804;175000;42500;0;250000;0;77561;0;1929;2859459;133500;43053;40144055;40187108;0.3117;0.2799;0.01;0.1277;0.077;0.8063;0;0;0;0;0;0.0992;0.0052;0;0;0;0;0;0.1045;0;0;0;0;0;0.0044;0.0011;0;0.0062;0;0.0019;0;0;0.0712;0.0033;0.0011;0.9989;1;0
Ukraine;Central and Eastern Europe;north;4.324;746;2.186;206;237;45;874104;184021;34826145;0;3312394;39196664;0;0;0;67000;67000;456000;0;0;0;0;0;0;456000;0;0;46005;46005;0;0;0;0;0;0;0;0;0;0;6200000;39807;45965669;46005476;0.019;0.004;0.757;0;0.072;0.852;0;0;0;0.0015;0.0015;0.0099;0;0;0;0;0;0;0.0099;0;0;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0.1348;0.0009;0.9991;1.0001;0
Ghana;Sub-Saharan Africa;north;4.276;588;1.517;31;3;10;11000000;3143640;0;0;2735686;16879326;0;0;0;0;0;3667789;555726;0;0;0;0;0;4223515;0;0;0;0;0;0;0;0;0;0;0;0;0;1271854;1439835;182722;23814530;23997252;0.4584;0.131;0;0;0.114;0.7034;0;0;0;0;0;0.1528;0.0232;0;0;0;0;0;0.176;0;0;0;0;0;0;0;0;0;0;0;0;0;0.053;0.06;0.0076;0.9924;1;0
Dem. Rep. Congo;Sub-Saharan Africa;south;4.272;452;1.712;32;3;1;21716851;33932580;12600;678652;6786516;63127199;0;0;0;407;407;882247;0;0;0;0;0;0;882247;0;0;3841;3841;0;95000;0;0;200000;0;0;0;0;3200000;345000;11466;67853694;67865160;0.32;0.5;0.0002;0.01;0.1;0.9302;0;0;0;0;0;0.013;0;0;0;0;0;0;0.013;0;0;0.0001;0.0001;0;0.0014;0;0;0.0029;0;0;0;0;0.0472;0.0051;0.0002;0.9998;1.0001;0
Georgia;Central and Eastern Europe;north;4.252;776;3.866;52;100;149;60401;31977;3432208;0;28424;3553010;0;0;0;12000;12000;440787;0;0;0;0;0;0;440787;0;0;0;0;0;0;0;0;0;0;0;0;0;22261;390000;34336;4418058;4452394;0.0136;0.0072;0.7709;0;0.0064;0.798;0;0;0;0.0027;0.0027;0.099;0;0;0;0;0;0;0.099;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005;0.0876;0.0077;0.9923;1;0
Rep. Congo;Sub-Saharan Africa;south;4.236;612;498;76;1;9;655027;1947994;645;0;625000;3228666;0;0;0;0;0;75200;2200;0;0;0;0;0;77400;0;0;172;172;0;0;0;0;25628;0;0;0;280;210000;295000;167160;3837146;4004306;0.1636;0.4865;0.0002;0;0.1561;0.8063;0;0;0;0;0;0.0188;0.0005;0;0;0;0;0;0.0193;0;0;0;0;0;0;0;0;0.0064;0;0;0;0.0001;0.0524;0.0737;0.0417;0.9583;0.9999;0
Senegal;Sub-Saharan Africa;north;4.219;499;953;9;1;7;21278;400067;0;0;0;421345;0;0;0;0;0;11221712;124357;0;0;0;0;0;11346069;0;0;1631;1631;0;0;0;0;23201;0;0;0;387;241681;20144;29640;12054458;12084098;0.0018;0.0331;0;0;0;0.0349;0;0;0;0;0;0.9286;0.0103;0;0;0;0;0;0.9389;0;0;0.0001;0.0001;0;0;0;0;0.0019;0;0;0;0;0.02;0.0017;0.0025;0.9975;1;0
Bulgaria;Central and Eastern Europe;north;4.217;810;7.469;231;252;94;42000;64119;6100000;0;0;6206119;0;0;0;2000;2000;920000;52000;0;0;0;0;0;972000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;356674;6764;7536793;7543557;0.0056;0.0085;0.8086;0;0;0.8227;0;0;0;0.0003;0.0003;0.122;0.0069;0;0;0;0;0;0.1289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0473;0.0009;0.9991;1.0001;0
Zimbabwe;Sub-Saharan Africa;south;4.193;532;1.029;64;18;4;2396453;2305000;44732;564757;4650237;9961179;0;0;0;11326;11326;128311;2137;0;0;0;0;0;130448;0;0;182;182;0;18005;0;0;25200;0;0;0;389;1647295;311930;59339;12105955;12165294;0.197;0.1895;0.0037;0.0464;0.3823;0.8188;0;0;0;0.0009;0.0009;0.0105;0.0002;0;0;0;0;0;0.0107;0;0;0;0;0;0.0015;0;0;0.0021;0;0;0;0;0.1354;0.0256;0.0049;0.9951;0.9999;0
Malawi;Sub-Saharan Africa;south;4.156;474;300;8;11;1;4482817;3619442;4101;289214;2057026;10452600;0;0;0;278;278;2050581;60353;0;0;0;0;0;2110934;0;0;0;0;0;32970;771;0;35428;0;0;0;0;1733405;87882;6431;14454268;14460699;0.31;0.2503;0.0003;0.02;0.1422;0.7228;0;0;0;0;0;0.1418;0.0042;0;0;0;0;0;0.146;0;0;0;0;0;0.0023;0.0001;0;0.0024;0;0;0;0;0.1199;0.0061;0.0004;0.9996;1;0
Gabon;Sub-Saharan Africa;south;4.121;698;7.079;347;98;59;198200;631887;0;0;217665;1047752;0;0;0;0;0;203321;7011;0;0;0;0;0;210332;0;0;0;0;0;0;0;0;564;0;0;0;0;117561;22500;3505;1398709;1402214;0.1413;0.4506;0;0;0.1552;0.7472;0;0;0;0;0;0.145;0.005;0;0;0;0;0;0.15;0;0;0;0;0;0;0;0;0.0004;0;0;0;0;0.0838;0.016;0.0025;0.9975;0.9999;0
Mali;Sub-Saharan Africa;north;4.073;421;780;5;1;1;92809;314259;0;0;0;407068;0;0;0;0;0;12619133;135689;0;0;0;0;0;12754822;0;0;0;0;0;0;0;0;750;0;0;0;0;379930;25200;1191;13567770;13568961;0.0068;0.0232;0;0;0;0.03;0;0;0;0;0;0.93;0.01;0;0;0;0;0;0.94;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0.028;0.0019;0.0001;0.9999;1.0001;0
Haiti;Latin America and Caribbean;north;4.028;496;735;1;326;1;976083;7027799;0;0;0;8003882;0;0;0;120;120;0;0;0;0;0;0;1750;1750;0;0;0;0;0;0;0;0;8527;0;0;0;4392374;0;976083;0;13382736;9760832;0.1;0.72;0;0;0;0.82;0;0;0;0;0;0;0;0;0;0;0;0.0002;0.0002;0;0;0;0;0;0;0;0;0.0009;0;0;0;0.45;0;0.1;0;1.3711;1.3711;1
Botswana;Sub-Saharan Africa;south;3.974;712;6.954;173;35;35;235097;100308;80;0;915314;1250799;0;0;0;0;0;47053;2476;0;0;0;0;0;49529;0;0;1009;1009;0;2494;217;0;3450;0;0;0;100;425000;45000;29917;1777598;1807515;0.1301;0.0555;0;0;0.5064;0.692;0;0;0;0;0;0.026;0.0014;0;0;0;0;0;0.0274;0;0;0.0006;0.0006;0;0.0014;0.0001;0;0.0019;0;0;0;0.0001;0.2351;0.0249;0.0166;0.9834;1.0001;0
Comoros;Sub-Saharan Africa;south;3.956;502;775;1;3;1;0;850;0;0;0;850;0;0;0;0;0;0;666746;0;0;0;0;0;666746;0;0;0;0;0;0;0;0;599;0;0;0;0;9975;1658;133;679828;679961;0;0.0013;0;0;0;0.0013;0;0;0;0;0;0;0.9806;0;0;0;0;0;0.9806;0;0;0;0;0;0;0;0;0.0009;0;0;0;0;0.0147;0.0024;0.0002;0.9998;1.0001;0
Cote d'Ivoire;Sub-Saharan Africa;north;3.916;486;1.535;37;1;7;1517432;5930196;50028;0;531680;8029336;0;0;0;0;0;7868751;80293;0;0;0;0;80293;8029337;0;0;10706;10706;0;1713;0;0;32974;0;0;0;0;5138776;124000;44726;21366842;21411568;0.0709;0.277;0.0023;0;0.0248;0.375;0;0;0;0;0;0.3675;0.0037;0;0;0;0;0.0037;0.375;0;0;0.0005;0.0005;0;0.0001;0;0;0.0015;0;0;0;0;0.24;0.0058;0.0021;0.9979;1;0
Cambodia;Southeastern Asia;north;3.907;576;1.27;57;65;1;25047;8202;0;96;23854;57199;0;0;0;0;0;274289;19427;0;0;0;0;0;293716;47098;14754892;0;14801990;0;0;0;0;0;0;0;0;0;39996;59995;55260;15252896;15308156;0.0016;0.0005;0;0;0.0016;0.0037;0;0;0;0;0;0.0179;0.0013;0;0;0;0;0;0.0192;0.0031;0.9639;0;0.9669;0;0;0;0;0;0;0;0;0;0.0026;0.0039;0.0036;0.9964;0.9999;0
Angola;Sub-Saharan Africa;south;3.866;577;3.309;217;57;45;4396260;11850789;0;37800;750000;17034849;0;0;0;0;0;0;0;0;0;0;0;198750;198750;0;0;1634;1634;0;0;0;0;2064;0;0;0;162;1450000;342000;84717;19029459;19114176;0.23;0.62;0;0.002;0.0392;0.8912;0;0;0;0;0;0;0;0;0;0;0;0.0104;0.0104;0;0;0.0001;0.0001;0;0;0;0;0.0001;0;0;0;0;0.0759;0.0179;0.0044;0.9956;1;0
Niger;Sub-Saharan Africa;north;3.856;351;368;3;2;1;113153;231233;0;0;240162;584548;0;0;0;0;0;13714412;0;0;0;0;0;0;13714412;0;0;0;0;0;0;3582;0;4500;0;0;0;0;605000;15200;61187;14927242;14988429;0.0075;0.0154;0;0;0.016;0.039;0;0;0;0;0;0.915;0;0;0;0;0;0;0.915;0;0;0;0;0;0;0.0002;0;0.0003;0;0;0;0;0.0404;0.001;0.0041;0.9959;1;0
Chad;Sub-Saharan Africa;north;3.763;405;651;15;1;1;1558219;1682398;0;0;668853;3909470;0;0;0;0;0;6209287;137945;0;0;0;0;0;6347232;0;0;1771;1771;0;0;0;0;22955;0;0;0;3771;1150730;28900;34254;11464829;11499083;0.1355;0.1463;0;0;0.0582;0.34;0;0;0;0;0;0.54;0.012;0;0;0;0;0;0.552;0;0;0.0002;0.0002;0;0;0;0;0.002;0;0;0;0.0003;0.1001;0.0025;0.003;0.997;1.0001;0
Burkina Faso;Sub-Saharan Africa;north;3.739;420;614;25;7;7;779198;3740152;0;0;55000;4574351;0;0;0;0;0;8882862;140256;0;0;0;0;0;9023117;0;0;0;0;0;0;0;0;1950;0;0;0;0;1901244;78188;5118;15578850;15583968;0.05;0.24;0;0;0.0035;0.2935;0;0;0;0;0;0.57;0.009;0;0;0;0;0;0.579;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0.122;0.005;0.0003;0.9997;0.9999;0
Madagascar;Sub-Saharan Africa;south;3.695;517;402;26;15;4;4103362;5490037;0;1061707;1376675;12031782;0;0;0;308;308;1068176;55457;0;0;0;0;0;1123633;0;0;5135;5135;0;11912;0;0;15200;0;0;0;17200;7205000;125000;3610;20535170;20538780;0.1998;0.2673;0;0.0517;0.067;0.5858;0;0;0;0;0;0.052;0.0027;0;0;0;0;0;0.0547;0;0;0.0003;0.0003;0;0.0006;0;0;0.0007;0;0;0;0.0008;0.3508;0.0061;0.0002;0.9998;1;0
Tanzania;Sub-Saharan Africa;south;3.666;533;878;36;6;1;5939526;9448823;9676;3146249;2030228;20574501;0;0;0;0;0;13736844;1768358;0;0;0;0;0;15505201;0;0;9777;9777;130;322500;12921;0;125000;0;9432;0;22784;5895000;385000;207757;42862247;43070004;0.1379;0.2194;0.0002;0.073;0.0471;0.4777;0;0;0;0;0;0.3189;0.0411;0;0;0;0;0;0.36;0;0;0.0002;0.0002;0;0.0075;0.0003;0;0.0029;0;0.0002;0;0.0005;0.1369;0.0089;0.0048;0.9952;0.9999;0
Liberia;Sub-Saharan Africa;north;3.622;432;455;19;152;2;1182650;397491;0;98486;1863613;3542240;0;0;0;0;0;458824;10094;0;0;0;0;0;468918;0;0;0;0;0;0;0;0;4167;0;0;0;0;110000;41673;346;4166998;4167344;0.2838;0.0954;0;0.0236;0.4472;0.85;0;0;0;0;0;0.1101;0.0024;0;0;0;0;0;0.1125;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0.0264;0.01;0.0001;0.9999;1;0
Benin;Sub-Saharan Africa;north;3.484;512;789;34;4;13;735000;2145000;8906;3488;622000;3514394;0;0;0;0;0;2304686;21029;0;0;0;0;0;2325715;0;0;0;0;0;0;0;0;2458;0;0;0;0;2495000;293352;155077;8630919;8785996;0.0837;0.2441;0.001;0.0004;0.0708;0.4;0;0;0;0;0;0.2623;0.0024;0;0;0;0;0;0.2647;0;0;0;0;0;0;0;0;0.0003;0;0;0;0;0.284;0.0334;0.0177;0.9823;1.0001;0
