Country;Region;Hemisphere;HappinessScore;HDI;GDP_PerCapita;Beer_PerCapita;Spirit_PerCapita;Wine_PerCapita;christianity_protestant;christianity_romancatholic;christianity_easternorthodox;christianity_anglican;christianity_other;christianity_all;judaism_orthodox;judaism_conservative;judaism_reform;judaism_other;judaism_all;islam_sunni;islam_shi’a;islam_ibadhi;islam_nationofislam;islam_alawite;islam_ahmadiyya;islam_other;islam_all;buddhism_mahayana;buddhism_theravada;buddhism_other;buddhism_all;zoroastrianism_all;hinduism_all;sikhism_all;shinto_all;baha’i_all;taoism_all;jainism_all;confucianism_all;syncretism_all;animism_all;noreligion_all;otherreligion_all;religion_all;population;protestant_percent;romancatholic_percent;easternorthodox_percent;anglican_percent;otherchristianity_percent;christianity_percent;orthodox_percent;conservative_percent;reform_percent;otherjudaism_percent;judaism_percent;sunni_percent;shi’a_percent;ibadhi_percent;nationofislam_percent;alawite_percent;ahmadiyya_percent;otherislam_percent;islam_percent;mahayana_percent;theravada_percent;otherbuddhism_percent;buddhism_percent;zoroastrianism_percent;hinduism_percent;sikhism_percent;shinto_percent;baha’i_percent;taoism_percent;jainism_percent;confucianism_percent;syncretism_percent;animism_percent;noreligion_percent;otherreligion_percent;religion_sumpercent;total_percent;dual_religion
United Arab Emirates;Middle East and Northern Africa;north;6.573;862;38.518;16;135;5;0;185228;185228;0;75005;445461;0;0;0;0;0;3530371;677966;0;0;0;0;0;4208337;0;0;22000;22000;0;1387654;0;0;62367;0;0;0;0;0;85000;25831;6210819;6236650;0;0.0297;0.0297;0;0.012;0.0714;0;0;0;0;0;0.5661;0.1087;0;0;0;0;0;0.6748;0;0;0.0035;0.0035;0;0.2225;0;0;0.01;0;0;0;0;0;0.0136;0.0041;0.9959;0.9999;0
Uruguay;Latin America and Caribbean;south;6.545;802;15.298;115;35;220;369234;1580995;17021;710;778749;2746709;0;0;0;10070;10070;0;0;0;0;0;0;1015;1015;0;0;32;32;0;0;0;0;4061;0;0;0;0;16;577348;17428;3339251;3356679;0.11;0.471;0.0051;0.0002;0.232;0.8183;0;0;0;0.003;0.003;0;0;0;0;0;0;0.0003;0.0003;0;0;0;0;0;0;0;0;0.0012;0;0;0;0;0;0.172;0.0052;0.9948;1;0
Malta;Western Europe;north;6.488;875;24.771;149;100;120;4129;396394;119;991;0;401633;0;0;0;60;60;0;0;0;0;0;0;4122;4122;0;0;0;0;0;0;0;0;220;0;0;0;0;0;6200;676;412235;412911;0.01;0.96;0.0003;0.0024;0;0.9727;0;0;0;0.0001;0.0001;0;0;0;0;0;0;0.01;0.01;0;0;0;0;0;0;0;0;0.0005;0;0;0;0;0;0.015;0.0016;0.9984;0.9999;0
Colombia;Latin America and Caribbean;both;6.481;747;5.757;159;76;3;6944250;37961900;3022;1475;0;44910647;0;0;0;8095;8095;0;0;0;0;0;0;27740;27740;0;0;1619;1619;0;8095;0;0;47225;0;0;0;1295;405206;694425;190653;46104347;46295000;0.15;0.82;0.0001;0;0;0.9701;0;0;0;0.0002;0.0002;0;0;0;0;0;0;0.0006;0.0006;0;0;0;0;0;0.0002;0;0;0.001;0;0;0;0;0.0088;0.015;0.0041;0.9959;1;0
France;Western Europe;north;6.478;899;36.87;127;151;370;1254451;40456051;732642;14865;1565352;44023361;0;0;0;480000;480000;4500000;450000;0;0;0;0;0;4950000;0;0;650755;650755;0;51000;0;0;0;0;0;0;223292;115410;12008726;220016;62502544;62722560;0.02;0.645;0.0117;0.0002;0.025;0.7019;0;0;0;0.0077;0.0077;0.0717;0.0072;0;0;0;0;0;0.0789;0;0;0.0104;0.0104;0;0.0008;0;0;0;0;0;0;0.0036;0.0018;0.1915;0.0035;0.9965;1.0001;0
Thailand;Southeastern Asia;north;6.474;748;5.979;99;258;1;190694;172023;497;6781;34003;403998;0;0;0;200;200;6060012;673334;0;0;0;0;0;6733346;0;58580120;0;58580120;0;56000;19500;0;6300;0;0;77000;62000;475000;673334;246674;67086798;67333472;0.0028;0.0026;0;0.0001;0.0005;0.006;0;0;0;0;0;0.09;0.01;0;0;0;0;0;0.1;0;0.87;0;0.87;0;0.0008;0.0003;0;0.0001;0;0;0.0011;0.0009;0.0071;0.01;0.0037;0.9963;1;0
Qatar;Middle East and Northern Africa;north;6.375;855;59.324;1;42;7;6000;200000;20000;3000;16603;245603;0;0;0;0;0;628790;169943;0;0;0;0;0;798733;0;0;36603;36603;0;450000;0;0;0;0;0;0;0;0;30000;138496;1560939;1699435;0.0035;0.1177;0.0118;0.0018;0.0098;0.1445;0;0;0;0;0;0.37;0.1;0;0;0;0;0;0.47;0;0;0.0215;0.0215;0;0.2648;0;0;0;0;0;0;0;0;0.0177;0.0815;0.9185;1;0
Spain;Western Europe;north;6.361;889;26.617;284;157;112;1200000;35000000;0;0;921529;37121529;0;0;0;12000;12000;0;0;0;0;0;0;1400000;1400000;0;0;10200;10200;0;0;0;0;0;0;0;0;0;0;7372239;160528;45915968;46076496;0.026;0.7596;0;0;0.02;0.8056;0;0;0;0.0003;0.0003;0;0;0;0;0;0;0.0304;0.0304;0;0;0.0002;0.0002;0;0;0;0;0;0;0;0;0;0;0.16;0.0035;0.9965;1;0
Guatemala;Latin America and Caribbean;north;6.324;649;4.141;53;69;2;5529785;7603454;0;0;0;13133239;0;0;0;2000;2000;2000;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;2800;635050;49374;13775089;13824463;0.4;0.55;0;0;0;0.95;0;0;0;0.0001;0.0001;0.0001;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002;0.0459;0.0036;0.9964;0.9999;0
Suriname;Latin America and Caribbean;north;6.269;719;5.871;128;178;7;142632;129048;0;0;0;271680;0;0;0;290;290;0;0;0;0;0;0;110936;110936;0;0;0;0;0;155084;0;0;0;0;0;0;0;28000;0;10;565990;566000;0.252;0.228;0;0;0;0.48;0;0;0;0.0005;0.0005;0;0;0;0;0;0;0.196;0.196;0;0;0;0;0;0.274;0;0;0;0;0;0;0;0.0495;0;0;1;1;0
